labels,credentials,p_type,no_serv,no_bene,no_dis_bene,ave_Me_pay,ave_Sub,place of service,gender,drug
3,MD,Anesthesiology,36,36,36,171.51833333,171.51833333,F,F,N
0,MD,Anesthesiology,81,35,81,88.241234568,243.96814815,O,M,N
0,MD,Anesthesiology,49,34,49,395.68081633,999.4,O,M,N
0,MD,Anesthesiology,296,183,296,18.18,45.446959459,O,M,N
0,MD,Anesthesiology,176,99,176,160.99,372.42409091,O,M,N
0,MD,Anesthesiology,51,42,51,10.37,50,O,M,Y
2,Other,Nurse Practitioner,111,89,111,128.66,200,O,F,N
2,MD,Endocrinology,111,89,111,180.58,400,O,F,N
3,DO,Emergency Medicine,275,268,275,174.18,895.36363636,F,F,N
2,MD,Ophthalmology,132,132,132,171.54,224.84848485,O,F,N
2,MD,Ophthalmology,230,225,230,43.361695652,95.52173913,O,F,N
0,MD,Pulmonary Disease,135,96,135,110.93,254.97777778,O,M,N
1,MD,Interventional Cardiology,110,108,110,62.31,81,F,M,N
1,MD,Interventional Cardiology,59,59,59,107.27,127,F,M,N
1,MD,Interventional Cardiology,25,11,11,9.76,22,F,M,N
0,MD,Interventional Cardiology,118,59,59,121.72067797,125,O,M,N
1,MD,General Surgery,67,46,67,49.02,200,F,M,N
0,MD,Neurology,16,16,16,173.63,280.0625,O,M,N
2,PT,Physical Therapist in Private Practice,364,55,302,30.93771978,65,O,F,N
2,PT,Physical Therapist in Private Practice,723,71,568,22.767828492,65,O,F,N
0,MD,Family Practice,22,22,22,96.827272727,173.18181818,O,M,Y
0,MD,Family Practice,53,49,53,16.97,74,O,M,N
3,ARNP,Nurse Practitioner,16,15,16,121.14,359,F,F,N
2,MD,Family Practice,25,24,25,19.03,41,O,F,Y
2,MD,Family Practice,14,14,14,164.03,471,O,F,N
3,DO,Emergency Medicine,164,161,164,178.9,1031.6097561,F,F,N
3,DO,Emergency Medicine,58,58,58,229.28,1242.3448276,F,F,N
0,MD,Cardiology,93,93,93,65.583333333,153,O,M,N
1,MD,Cardiology,221,117,221,102.65,209,F,M,N
0,MD,Cardiology,304,75,76,55.342006579,162,O,M,Y
1,MD,Nephrology,209,67,209,120.99,212,F,M,N
1,MD,Nephrology,44,42,44,84.11,147,F,M,N
0,MD,General Surgery,56,45,56,78.67,122.82142857,O,M,N
1,MD,General Surgery,24,24,24,141.99,233.125,F,M,N
1,MD,Anesthesiology,64,61,61,127.31,534.703125,F,M,N
1,MD,Anesthesiology,54,54,54,3.2,132,F,M,N
2,MD,Family Practice,13,12,13,13.32,40,O,F,N
2,MD,Family Practice,64,64,64,171.7975,499.2834375,O,F,N
2,MD,Obstetrics & Gynecology,26,17,26,5.65,27.538461538,O,F,N
1,DO,Emergency Medicine,20,20,20,217.75,754,F,M,N
3,MD,Internal Medicine,51,43,51,71.75,140,F,F,N
3,MD,Internal Medicine,135,131,135,107.15,201,F,F,N
0,MD,Dermatology,479,431,451,30.84,65,O,M,N
0,MD,Dermatology,392,349,392,280.92357143,570,O,M,N
0,MD,Otolaryngology,73,61,73,109.53,392,O,M,N
0,MD,Otolaryngology,89,81,89,44.925842697,124,O,M,N
0,MD,Otolaryngology,266,266,266,104.66,188.11278195,O,M,N
0,MD,Orthopedic Surgery,127,67,127,74.65,143.44094488,O,M,N
1,MD,Orthopedic Surgery,22,21,22,40.13,76.636363636,F,M,N
0,MD,Internal Medicine,581,207,581,74.94,120,O,M,N
1,MD,Internal Medicine,92,78,92,206.04,252.2826087,F,M,N
1,MD,Internal Medicine,58,51,58,73.85,124.96551724,F,M,N
0,MD,Internal Medicine,71,71,71,27.93,40,O,M,N
1,MD,Pathology,75,57,59,37.03,182.00533333,F,M,N
2,MD,Gastroenterology,21,21,21,72.23,120,O,F,N
0,MD,Endocrinology,22,22,22,182.77636364,312,O,M,N
1,DO,Emergency Medicine,53,50,53,8.44,71,F,M,N
1,MD,Gastroenterology,41,38,41,221.73,298.7804878,F,M,N
1,MD,Diagnostic Radiology,220,206,218,9.7414545455,91.2,F,M,N
1,MD,Diagnostic Radiology,32,32,32,53.7428125,250,F,M,N
1,MD,Diagnostic Radiology,24,23,24,63.5175,250,F,M,N
1,MD,Diagnostic Radiology,25,24,25,9.3892,96,F,M,N
1,MD,Diagnostic Radiology,22,22,22,10.008636364,104.4,F,M,N
1,MD,Diagnostic Radiology,80,79,80,96.31825,313.2,F,M,N
0,MD,Diagnostic Radiology,40,39,40,333.55,1696.61,O,M,N
0,MD,Radiation Oncology,53,48,53,81.61,350,O,M,N
0,MD,Radiation Oncology,125,55,60,45.42,144,O,M,N
0,MD,Radiation Oncology,173,98,120,59.96,141,O,M,N
0,MD,Radiation Oncology,26,26,26,106.08,595,O,M,N
0,MD,Radiation Oncology,38,38,38,164.81,196.44736842,O,M,N
3,MD,Gastroenterology,63,63,63,155.37301587,1346,F,F,N
1,DO,Anesthesiology,28,27,28,327.81285714,1819.6428571,F,M,N
1,MD,Pulmonary Disease,222,102,222,215.04,511.21621622,F,M,N
1,MD,Pulmonary Disease,17,15,17,74.26,237.35294118,F,M,N
3,MD,Nephrology,46,25,46,267.2,548,F,F,N
1,PA,Physician Assistant,146,62,146,96.19,125,F,M,N
1,MD,Family Practice,16,15,16,50.8,58.3375,F,M,N
0,Other,Other,887,89,887,40.68,40.75,O,M,N
0,DO,Family Practice,104,73,91,23.37,50,O,M,N
1,MD,Interventional Radiology,39,36,39,59.78,864.84615385,F,M,N
2,DO,Otolaryngology,88,76,88,200.61477273,621,O,F,N
2,DO,Otolaryngology,243,177,243,73.17,219,O,F,N
3,DO,Otolaryngology,16,16,16,104.1,313,F,F,N
3,DO,Cardiology,323,248,270,8.32,26,F,F,N
3,MD,Psychiatry,36,33,36,102.2,224.19,F,F,N
1,MD,Internal Medicine,320,308,320,212.27940625,439,F,M,N
2,DPM,Podiatry,22,22,22,158.14,601,O,F,N
3,MD,Anesthesiology,19,18,19,133.38894737,1107.0789474,F,F,N
2,NP,Nurse Practitioner,111,110,111,49.06,330,O,F,N
1,DO,Interventional Radiology,25,20,25,132.22,335,F,M,N
1,DO,Interventional Radiology,171,169,171,11.65,37,F,M,N
1,DO,Interventional Radiology,12,12,12,12.04,43,F,M,N
0,DO,Interventional Radiology,30,30,30,13.7,82,O,M,N
1,MD,Anesthesiology,61,29,61,39.16,100.49180328,F,M,N
1,MD,Gastroenterology,13,13,13,168.17230769,1045,F,M,N
1,MD,Gastroenterology,13,13,13,62.160769231,1440,F,M,N
1,MD,Gastroenterology,39,25,39,72.48,181.28205128,F,M,N
2,Other,Nurse Practitioner,331,225,331,61.65,154.19939577,O,F,N
2,Other,Nurse Practitioner,145,127,145,90.67,226.86206897,O,F,N
1,MD,Anesthesiology,21,19,21,123.65095238,858,F,M,N
1,MD,Anesthesiology,51,49,51,141.36745098,667,F,M,N
0,MD,Dermatology,309,266,309,221.89333333,523.98705502,O,M,N
0,DO,Urology,14,14,14,46.15,128,O,M,N
0,DO,Urology,321,249,321,18.21,55,O,M,N
1,DO,Urology,36,24,36,38.97,85,F,M,N
0,MD,Ophthalmology,115,109,115,137.68,430,O,M,N
2,MD,Neurology,29,12,29,138.43758621,250,O,F,N
2,MD,Neurology,138,138,138,197.94,356,O,F,N
2,DPM,Podiatry,32,13,27,129.763125,180,O,F,N
2,DPM,Podiatry,30,23,30,29.99,55,O,F,N
0,MD,Internal Medicine,45,45,45,19.03,49,O,M,Y
0,MD,Internal Medicine,139,136,139,23.52,38.194244604,O,M,N
0,DO,Family Practice,146,87,146,3,9,O,M,N
0,DO,Family Practice,49,27,49,13.32,40,O,M,N
0,DO,Family Practice,19,19,19,188.37368421,231.15789474,O,M,Y
0,DO,Family Practice,20,20,20,96.625,117.5,O,M,Y
0,DO,Family Practice,63,42,63,140.48,308.88888889,O,M,N
1,DO,Family Practice,172,71,172,67.46,247.03488372,F,M,N
1,MD,Pathology,97,91,92,36.56,161,F,M,N
1,MD,Diagnostic Radiology,75,74,75,52.2056,211,F,M,N
1,MD,Diagnostic Radiology,44,44,44,54.5625,211,F,M,N
0,MD,Diagnostic Radiology,20,20,20,206.8825,1454.8,O,M,N
1,MD,Diagnostic Radiology,27,26,26,8.64,32,F,M,N
1,MD,Diagnostic Radiology,21,21,21,49.75,104,F,M,N
2,DO,Obstetrics & Gynecology,29,29,29,46.06,289.31034483,O,F,N
1,MD,Emergency Medicine,22,22,22,7.35,14.863636364,F,M,N
0,MD,Orthopedic Surgery,45,31,36,5.9384444444,10,O,M,Y
2,MD,Ophthalmology,105,102,105,60.502,142,O,F,N
2,MD,Ophthalmology,187,111,132,61.869411765,147,O,F,N
1,PA,Physician Assistant,45,25,45,87.14,256,F,M,N
0,OD,Optometry,35,35,35,149.21,190,O,M,N
0,OD,Optometry,85,85,85,107.94,140,O,M,N
1,MD,Neurology,17,17,17,82.367058824,225,F,M,N
1,MD,Diagnostic Radiology,12,12,12,346.48,1085,F,M,N
1,MD,Diagnostic Radiology,19,19,19,73.808421053,220,F,M,N
0,MD,Diagnostic Radiology,17,16,16,9.5,23,O,M,N
1,MD,Diagnostic Radiology,15,15,15,8.81,27,F,M,N
1,MD,Diagnostic Radiology,12,12,12,34.92,115,F,M,N
1,MD,Diagnostic Radiology,22,20,22,14.51,40,F,M,N
0,MD,Diagnostic Radiology,185,185,185,36.96627027,110.78918919,O,M,N
2,MS,Physical Therapist in Private Practice,198,54,178,27.582676768,94.88,O,F,N
1,MD,Anesthesiology,60,58,60,75.156666667,331.43,F,M,N
1,MD,Anesthesiology,40,40,40,80.088,352.36,F,M,N
1,MD,Anesthesiology,14,14,14,152.42142857,670.61428571,F,M,N
1,MD,Anesthesiology,11,11,11,92.767272727,408.14545455,F,M,N
0,MD,Internal Medicine,18,17,18,56.71,246,O,M,N
0,MD,Dermatology,126,109,126,275.27333333,550,O,M,N
0,MD,Dermatology,279,193,241,359.07,380,O,M,N
1,DO,Pulmonary Disease,22,14,22,65.83,179.63636364,F,M,N
1,DO,Pulmonary Disease,16,16,16,13.09,35.6875,F,M,N
0,DO,Pulmonary Disease,27,19,27,143.92,383.77777778,O,M,N
1,MD,Emergency Medicine,43,43,43,61.95,708.90697674,F,M,N
3,MD,Internal Medicine,103,45,103,81.586990291,286.88349515,F,F,N
2,Other,Nurse Practitioner,25,25,25,10.66,19,O,F,N
2,Other,Nurse Practitioner,15,15,15,135.03,659.4,O,F,N
1,MD,Emergency Medicine,264,258,264,173.27757576,1255.3901515,F,M,N
0,Organization,Other,451.6,21,25,10.444486271,11.809123118,F,O,N
0,Organization,Other,64,63,64,47.6496875,47.6496875,O,O,Y
0,MD,General Surgery,70,70,70,104.66,322,O,M,N
0,MD,General Surgery,18,17,18,42.06,129,O,M,N
1,MD,Nephrology,85,82,85,229.89,460,F,M,N
1,MD,Emergency Medicine,46,46,46,65.470869565,383.04347826,F,M,N
0,MD,Ophthalmology,24,12,12,29.49,29.75,O,M,N
0,MD,Diagnostic Radiology,17,16,16,60.801176471,225,O,M,N
1,MD,Diagnostic Radiology,14,14,14,90.777142857,325,F,M,N
1,MD,Diagnostic Radiology,444,404,444,11.051373874,116.4,F,M,N
0,MD,Diagnostic Radiology,16,16,16,92.22125,350,O,M,N
0,MD,Diagnostic Radiology,44,44,44,15.98,166.8,O,M,N
0,MD,Diagnostic Radiology,35,35,35,11.41,120,O,M,N
0,MD,Diagnostic Radiology,117,117,117,15.98,169.2,O,M,N
0,MD,Diagnostic Radiology,29,29,29,8.89,96,O,M,N
0,MD,Diagnostic Radiology,153,143,143,9.62,104.4,O,M,N
1,MD,Diagnostic Radiology,36,33,33,8.89,50,F,M,N
1,MD,Diagnostic Radiology,20,20,20,7.09,76.8,F,M,N
1,MD,Diagnostic Radiology,31,29,29,9.62,30,F,M,N
0,MD,Diagnostic Radiology,20,17,18,9.62,30,O,M,N
1,MD,Diagnostic Radiology,23,23,23,8.53,97.2,F,M,N
1,MD,Diagnostic Radiology,41,37,39,8.89,56,F,M,N
1,MD,Diagnostic Radiology,44,40,44,13.82,124.8,F,M,N
0,MD,Diagnostic Radiology,34,34,34,40.97,200,O,M,N
1,MD,Diagnostic Radiology,12,12,12,35.2,313.2,F,M,N
0,MD,Diagnostic Radiology,12,12,12,24.87,70.8,O,M,N
1,MD,Diagnostic Radiology,75,69,75,42.76,147.6,F,M,N
1,MD,Diagnostic Radiology,19,19,19,40.49,206.4,F,M,N
1,MD,General Surgery,146,144,146,205.25,520.28767123,F,M,N
1,MD,General Surgery,69,53,69,105.8,266.1884058,F,M,N
1,MD,Anesthesiology,14,14,14,116.65857143,1816.2857143,F,M,N
3,MD,Internal Medicine,86,86,86,196.94,375.13953488,F,F,N
1,MD,Internal Medicine,13,13,13,75.73,224,F,M,N
1,MD,Internal Medicine,15,15,15,112.28,332.26666667,F,M,N
2,DPT,Physical Therapist in Private Practice,267,28,267,11.152022472,21,O,F,N
2,DPT,Physical Therapist in Private Practice,348,34,348,28.062413793,35,O,F,N
2,DPT,Physical Therapist in Private Practice,1303,88,1303,37.960798158,40,O,F,N
1,MD,Other,14,13,14,135.79,198,F,M,N
0,MD,Family Practice,115,79,115,16.042608696,54,O,M,N
0,MD,Family Practice,24,23,24,7.1,22,O,M,N
0,OD,Optometry,18,18,18,61.904444444,144.05555556,O,M,N
0,OD,Optometry,48,36,48,70.311666667,119.6875,O,M,N
2,Other,Nurse Practitioner,14,14,14,141.24,325,O,F,N
0,OD,Optometry,28,28,28,97.51,142,O,M,N
0,Other,Physical Therapist in Private Practice,26,25,26,79.31,98.55,O,M,N
0,Other,Physical Therapist in Private Practice,32,32,32,79.184375,98.55,O,M,N
0,MD,Orthopedic Surgery,30,28,30,104.51,215,O,M,N
1,MD,Nephrology,46,21,40,62.25,62.25,F,M,N
0,MD,Ophthalmology,15,14,15,69.378,94.733333333,O,M,N
0,MD,Ophthalmology,458,18,92,378.4918559,460,O,M,Y
0,MD,Ophthalmology,245,14,35,200.77918367,222.6,O,M,Y
1,MD,Cardiology,49,49,49,63.87,99.693877551,F,M,N
0,MD,Cardiology,40,39,40,219.29,357,O,M,N
3,MD,Internal Medicine,57,44,57,112.16,319.8245614,F,F,N
0,MD,Orthopedic Surgery,12,12,12,156.52,313,O,M,N
1,MD,Orthopedic Surgery,35,35,35,195.88,422,F,M,N
2,MD,Psychiatry,50,25,50,64.41,120,O,F,N
3,MD,Emergency Medicine,229,225,228,8.4229257642,65,F,F,N
0,MD,Ophthalmology,338,264,338,70.21,94,O,M,N
2,MD,Obstetrics & Gynecology,40,28,40,106.67,195,O,F,N
2,MD,Obstetrics & Gynecology,30,30,30,38.39,56.5,O,F,N
0,MD,Internal Medicine,40,40,40,130.28,324.31,O,M,N
0,MD,Internal Medicine,25,25,25,169.73,408.38,O,M,N
0,MD,Orthopedic Surgery,76,52,73,28.744736842,145,O,M,N
1,MD,Orthopedic Surgery,59,59,59,137.31,288,F,M,N
0,MD,Orthopedic Surgery,50,36,50,53.88,310,O,M,N
1,MD,Pathology,1130,505,553,40.1,172,F,M,N
0,MD,Family Practice,207,126,207,113.15,225.53623188,O,M,N
1,MD,Cardiology,17,14,17,25.21,155,F,M,N
0,MD,Orthopedic Surgery,202,141,198,66.337920792,225.87623762,O,M,N
1,MD,Orthopedic Surgery,13,13,13,175.14,450,F,M,N
0,MD,Orthopedic Surgery,96,66,96,39.48,95,O,M,N
0,MD,Ophthalmology,106,104,106,36.566603774,95,O,M,N
0,MD,Ophthalmology,194,179,194,63.396494845,120,O,M,N
3,NP,Nurse Practitioner,17,16,17,190.54,758,F,F,N
1,MD,Diagnostic Radiology,476,463,476,42.002584034,200.17226891,F,M,N
1,MD,Diagnostic Radiology,51,50,51,83.307058824,339.65,F,M,N
1,MD,Diagnostic Radiology,41,41,41,114.3,503,F,M,N
1,MD,Diagnostic Radiology,124,124,124,86.871209677,519.33870968,F,M,N
1,MD,Diagnostic Radiology,144,141,144,90.571736111,553.22222222,F,M,N
1,MD,Diagnostic Radiology,13,13,13,72.161538462,327,F,M,N
1,MD,Diagnostic Radiology,37,37,37,12.51,164.59459459,F,M,N
1,MD,Diagnostic Radiology,64,64,64,22.0259375,99,F,M,N
1,MD,Diagnostic Radiology,30,30,30,360.63,1163,F,M,N
1,MD,Diagnostic Radiology,15,13,13,8.62,31,F,M,N
1,MD,Diagnostic Radiology,19,18,19,27.554736842,106,F,M,N
0,PT,Physical Therapist in Private Practice,83,19,82,24.180843373,36.265060241,O,M,N
0,PT,Physical Therapist in Private Practice,26,11,26,20.54,60,O,M,N
0,MD,Other,130,107,130,30.923076923,80,O,M,N
1,MD,Diagnostic Radiology,34,31,32,8.17,42.147058824,F,M,N
1,MD,Diagnostic Radiology,150,141,148,10.96,59.84,F,M,N
0,MD,Ophthalmology,48,46,48,25.997083333,90,O,M,N
1,MD,Anesthesiology,16,16,16,82.333125,680.23125,F,M,N
1,MD,Anesthesiology,11,11,11,107.40909091,940.39090909,F,M,N
1,MD,Anesthesiology,14,13,14,187.96285714,1616.9571429,F,M,N
2,DO,Internal Medicine,15,15,15,95.883333333,142.66666667,O,F,Y
3,DO,Internal Medicine,148,145,148,203.77,311.33783784,F,F,N
3,DO,Internal Medicine,39,22,39,39.5,68.769230769,F,F,N
1,MD,Neurology,35,35,35,137.28,377.71,F,M,N
1,MD,Neurology,116,94,116,72.3,164.74474138,F,M,N
1,MD,Neurology,67,57,67,104.59,236.51313433,F,M,N
1,MD,Cardiology,17,17,17,38.5,99.36,F,M,N
1,MD,Cardiology,34,33,34,22.35,106.47,F,M,N
0,MD,Medical Oncology,39,39,39,129.34,312,O,M,N
0,MD,Medical Oncology,194,125,194,50.74,137,O,M,N
2,MD,Endocrinology,17,17,17,188.22,550,O,F,N
1,MD,Other,13,13,13,17.77,69,F,M,N
1,MD,Other,11,11,11,56.59,288,F,M,N
0,Organization,Other,844,42,56,7.29,12.128850711,F,O,N
1,MD,Neurology,15,12,15,39.16,100,F,M,N
1,MD,Pathology,84,79,79,11.64,198,F,M,N
0,MD,Pathology,36,31,31,38.28,149,O,M,N
0,MD,General Surgery,29,26,29,3,12,O,M,N
1,MD,General Surgery,35,35,35,133.24,242,F,M,N
1,MD,General Surgery,19,18,19,5.51,15,F,M,N
3,MD,Internal Medicine,58,58,58,135.79,203.64051724,F,F,N
3,MD,Internal Medicine,17,15,17,103.48,152.64705882,F,F,N
2,MD,Psychiatry,18,18,18,142.74,300,O,F,N
2,MD,Psychiatry,13,13,13,130,326,O,F,N
3,MD,Family Practice,22,15,22,77.41,206.84,F,F,N
3,MD,Family Practice,13,13,13,132.69307692,210.19692308,F,F,N
3,MD,Family Practice,165,158,165,103.57,300,F,F,N
0,Other,Physical Therapist in Private Practice,34,32,34,81.805294118,140,O,M,N
1,MD,Other,15,15,15,384.89466667,779.95,F,M,N
0,PT,Physical Therapist in Private Practice,1253,135,647,26.519273743,55,O,M,N
1,DO,Emergency Medicine,74,71,74,62.07,196,F,M,N
0,OD,Optometry,461,241,461,96.267678959,96.976138829,O,M,N
1,MD,Diagnostic Radiology,597,567,596,10.67,59,F,M,N
1,MD,Diagnostic Radiology,212,202,212,59.647641509,276,F,M,N
1,MD,Diagnostic Radiology,35,35,35,88.788571429,436,F,M,N
1,MD,Diagnostic Radiology,44,40,41,8.23,40,F,M,N
0,MD,Diagnostic Radiology,13,13,13,36.03,173,O,M,N
1,MD,Diagnostic Radiology,66,66,66,9.95,45,F,M,N
1,MD,Diagnostic Radiology,18,17,18,23.41,90,F,M,N
1,MD,Diagnostic Radiology,25,25,25,53.2276,413,F,M,N
1,DO,Diagnostic Radiology,54,54,54,81.788518519,328,F,M,N
1,DO,Diagnostic Radiology,47,39,41,12.37,49,F,M,N
1,DO,Diagnostic Radiology,45,44,45,95.8,364,F,M,N
1,DO,Diagnostic Radiology,18,18,18,46.17,192,F,M,N
2,PT,Physical Therapist in Private Practice,35,33,35,77.278,110,O,F,N
2,PT,Physical Therapist in Private Practice,990,68,477,28.619,45,O,F,N
1,MD,Orthopedic Surgery,17,12,17,163.9,706,F,M,N
2,MD,Dermatology,146,126,146,228.14458904,762.61643836,O,F,N
2,Other,Family Practice,12,12,12,127.19,296,O,F,N
1,MD,Emergency Medicine,159,157,159,112.8708805,507.40251572,F,M,N
2,DO,Obstetrics & Gynecology,81,81,81,41.77,175,O,F,N
0,MD,Family Practice,55,55,55,52.66,100,O,M,N
0,MD,Interventional Cardiology,67,63,67,68.98,171,O,M,N
3,MD,Emergency Medicine,17,17,17,61.95,222,F,F,N
